ap_Age,ap_Education,ap_YearsOfExperience,ap_TechnicalScore,ap_InterviewScore,ap_PreviouEmployment,em_Age,em_Education,em_YearsOfExperience,em_TechnicalScore,em_InterviewScore,em_PreviouEmployment,Suitable
51,2,9,49,7,Yes,53,1,6,64,9,Yes,No
48,2,4,48,5,Yes,43,1,5,79,4,Yes,Yes
28,3,36,24,6,Yes,32,1,28,43,5,Yes,No
40,1,31,10,7,Yes,24,2,17,48,1,Yes,No
24,3,14,99,6,Yes,49,2,13,11,3,Yes,No
47,2,26,13,4,Yes,57,2,25,15,3,Yes,No
26,1,6,10,7,Yes,40,2,34,84,6,Yes,No
51,3,18,44,8,Yes,33,2,19,33,6,Yes,No
41,1,15,45,2,Yes,27,2,25,50,3,Yes,No
46,3,18,98,5,Yes,49,2,13,51,4,Yes,No
36,3,33,21,7,Yes,37,3,12,30,7,Yes,No
36,3,0,10,9,Yes,19,3,26,76,5,Yes,No
54,1,31,9,7,Yes,18,2,23,36,8,Yes,No
49,2,4,55,2,Yes,37,3,35,70,3,Yes,No
47,1,22,14,7,Yes,47,3,28,87,6,Yes,No
55,1,15,72,4,Yes,26,1,15,83,2,Yes,No
20,1,12,56,9,Yes,31,2,26,21,1,Yes,No
27,3,11,48,5,Yes,29,1,34,20,4,Yes,No
55,2,16,1,7,Yes,18,1,25,7,1,Yes,No
52,1,29,34,5,Yes,19,1,21,17,5,Yes,No
34,1,17,15,4,Yes,26,2,12,10,5,Yes,No
21,2,8,12,4,Yes,53,1,27,96,7,Yes,No
34,1,37,92,5,Yes,46,2,4,58,4,Yes,No
51,1,37,86,2,Yes,54,1,15,78,9,Yes,No
34,3,26,49,7,Yes,44,1,32,29,4,Yes,Yes
25,3,36,61,5,Yes,55,2,28,75,2,Yes,No
36,1,14,55,5,Yes,35,1,14,81,1,Yes,No
34,1,3,14,1,Yes,29,2,31,98,4,Yes,Yes
18,3,26,57,8,Yes,44,1,20,13,5,Yes,Yes
29,1,14,79,4,Yes,39,2,16,20,2,Yes,No
30,2,29,77,3,Yes,24,3,27,9,6,Yes,No
25,1,25,40,8,Yes,23,1,33,83,5,Yes,No
57,3,36,77,1,Yes,38,3,9,80,4,Yes,No
43,2,36,92,2,Yes,51,1,14,36,9,Yes,No
24,2,35,99,9,Yes,59,3,6,33,2,Yes,No
29,3,0,15,6,Yes,23,2,38,4,3,Yes,No
37,2,11,62,9,Yes,42,3,39,22,3,Yes,No
28,3,6,27,4,Yes,49,2,19,80,9,Yes,No
45,2,9,72,8,Yes,21,1,10,23,6,Yes,No
21,2,17,53,2,Yes,39,2,14,79,4,Yes,No
48,3,26,97,9,Yes,40,2,1,55,9,Yes,No
46,3,24,74,2,Yes,48,3,28,29,9,Yes,No
36,3,14,51,6,Yes,19,3,34,86,3,Yes,No
23,3,9,85,5,Yes,47,3,35,59,8,Yes,No
34,1,30,55,6,Yes,41,1,37,44,5,Yes,No
29,1,39,86,5,Yes,55,3,3,96,1,Yes,No
47,2,16,75,4,Yes,54,3,10,1,7,Yes,No
31,2,13,10,3,Yes,25,1,29,81,5,Yes,No
31,2,18,26,6,Yes,52,3,31,46,8,Yes,No
56,2,35,77,6,Yes,48,3,8,81,8,Yes,No
57,3,7,49,9,Yes,47,2,34,42,6,Yes,No
22,1,7,49,8,Yes,39,1,6,83,1,Yes,No
41,1,24,98,8,Yes,21,1,31,98,5,Yes,No
25,3,32,52,5,Yes,51,1,20,75,3,Yes,No
54,1,23,45,3,Yes,59,2,8,99,8,Yes,No
56,3,15,65,3,Yes,29,2,38,24,2,Yes,No
40,2,24,9,6,Yes,51,2,3,25,3,Yes,No
40,1,23,73,5,Yes,49,1,12,21,1,Yes,Yes
33,2,24,31,2,Yes,58,2,18,49,1,Yes,No
36,2,29,81,8,Yes,37,3,6,58,9,Yes,No
58,3,19,81,5,Yes,42,2,26,21,1,Yes,No
32,2,22,37,2,Yes,26,1,2,66,6,Yes,No
29,1,32,77,2,Yes,32,3,3,45,4,Yes,No
51,2,39,78,3,Yes,22,3,25,32,7,Yes,No
27,1,24,21,6,Yes,28,3,24,43,9,Yes,No
57,2,6,62,6,Yes,20,3,30,60,6,Yes,No
29,3,39,10,2,Yes,31,1,2,30,4,Yes,No
47,1,32,80,6,Yes,24,1,30,90,7,Yes,Yes
24,3,36,77,5,Yes,55,1,21,3,1,Yes,No
35,2,25,27,5,Yes,42,2,19,29,5,Yes,No
37,1,24,6,3,Yes,49,1,33,58,2,Yes,No
36,1,39,65,9,Yes,19,2,0,84,7,Yes,No
19,3,36,44,2,Yes,55,2,0,5,7,Yes,No
37,3,28,93,4,Yes,33,2,1,7,4,Yes,No
40,2,8,72,3,Yes,51,3,37,83,6,Yes,No
46,2,0,49,8,Yes,31,2,17,60,8,Yes,No
57,2,13,21,7,Yes,30,1,32,23,5,Yes,Yes
49,1,32,7,9,Yes,53,1,13,40,4,Yes,No
33,3,21,56,8,Yes,52,1,29,76,9,Yes,No
43,1,17,7,8,Yes,32,1,30,47,7,Yes,No
58,1,5,81,2,Yes,50,3,30,40,1,Yes,No
32,1,20,16,2,Yes,31,1,8,21,9,Yes,No
57,1,29,52,5,Yes,23,2,10,2,2,Yes,No
18,1,7,63,1,Yes,49,1,2,64,8,Yes,No
43,1,33,56,5,Yes,46,2,17,97,7,Yes,No
26,3,38,4,3,Yes,48,3,21,86,2,Yes,No
54,2,15,85,2,Yes,52,2,16,23,9,Yes,No
43,3,4,44,8,Yes,53,1,24,28,5,Yes,No
32,1,1,15,3,Yes,50,2,37,63,3,Yes,No
57,3,0,99,8,Yes,44,3,36,73,6,Yes,No
55,2,5,81,7,Yes,52,2,6,68,5,Yes,No
19,1,33,29,4,Yes,28,2,1,75,8,Yes,No
52,1,4,52,5,Yes,19,3,28,71,5,Yes,No
44,1,37,96,2,Yes,41,2,38,18,4,Yes,No
20,3,1,72,3,Yes,49,3,9,41,2,Yes,No
34,2,5,63,6,Yes,47,3,38,9,4,Yes,No
27,2,5,83,2,Yes,39,3,30,4,4,Yes,Yes
50,3,14,83,6,Yes,55,1,29,38,1,Yes,No
19,3,30,23,5,Yes,51,2,34,17,5,Yes,No
31,2,27,4,7,Yes,40,1,32,9,6,Yes,No
56,1,26,58,8,Yes,27,2,33,48,4,Yes,No
31,2,30,83,1,Yes,26,2,26,25,6,Yes,No
19,1,12,5,1,Yes,32,1,17,5,8,Yes,No
54,2,3,77,6,Yes,28,1,6,90,5,Yes,No
40,3,3,67,3,Yes,44,1,29,16,3,Yes,No
48,2,34,44,2,Yes,50,2,23,44,1,Yes,No
30,1,27,63,8,Yes,52,2,16,50,7,Yes,No
28,3,11,83,6,Yes,46,1,24,20,6,Yes,No
47,2,7,53,4,Yes,38,2,18,85,5,Yes,No
42,2,16,43,5,Yes,45,3,31,5,5,Yes,No
45,2,18,78,1,Yes,19,2,33,11,4,Yes,No
46,2,23,36,4,Yes,22,2,23,40,2,Yes,No
52,1,29,33,3,Yes,30,1,18,81,4,Yes,Yes
24,2,22,40,2,Yes,46,3,5,3,1,Yes,No
52,2,28,81,6,Yes,54,3,0,37,9,Yes,No
23,2,34,6,2,Yes,56,3,15,49,8,Yes,No
57,2,5,53,8,Yes,18,1,23,76,5,Yes,No
21,2,4,41,8,Yes,30,3,16,58,1,Yes,No
47,1,22,54,2,Yes,47,3,30,4,4,Yes,No
18,3,23,7,9,Yes,30,3,14,52,8,Yes,No
42,1,34,87,8,Yes,25,3,29,59,5,Yes,No
29,2,34,45,8,Yes,28,3,30,72,7,Yes,No
45,2,21,90,9,Yes,30,3,26,48,1,Yes,No
30,3,23,15,8,Yes,50,1,8,13,2,Yes,No
44,2,17,66,6,Yes,26,3,4,16,1,Yes,No
54,2,35,69,8,Yes,44,1,13,94,8,Yes,No
36,1,2,40,4,Yes,40,1,24,38,9,Yes,No
30,2,26,49,8,Yes,29,3,0,40,6,Yes,No
38,2,22,11,1,Yes,35,2,23,56,9,Yes,Yes
52,3,21,35,5,Yes,57,1,20,8,3,Yes,No
26,1,23,96,8,Yes,51,1,8,54,2,Yes,No
49,2,8,42,8,Yes,46,3,6,5,3,Yes,No
43,3,17,81,5,Yes,37,1,27,24,8,Yes,No
56,3,31,51,8,Yes,27,3,32,72,1,Yes,No
44,3,9,8,5,Yes,45,1,22,61,4,Yes,No
45,1,1,72,7,Yes,49,1,19,67,7,Yes,No
45,2,5,5,8,Yes,56,2,12,27,9,Yes,No
42,2,19,76,1,Yes,40,3,22,97,7,Yes,No
36,1,21,74,9,Yes,21,3,6,35,9,Yes,No
25,2,32,47,6,Yes,23,2,19,64,1,Yes,No
27,3,34,70,5,Yes,22,2,13,57,2,Yes,No
50,2,24,73,3,Yes,36,3,38,74,9,Yes,No
24,3,28,87,1,Yes,55,3,10,47,1,Yes,No
59,1,7,37,9,Yes,37,3,39,78,9,Yes,No
31,2,37,89,9,Yes,37,2,4,17,3,Yes,No
41,2,8,76,1,Yes,34,1,7,38,5,Yes,No
21,2,12,83,4,Yes,53,2,17,58,9,Yes,No
35,3,0,76,4,Yes,55,3,14,9,7,Yes,No
59,3,3,77,7,Yes,29,2,33,10,6,Yes,No
36,2,28,35,6,Yes,38,2,3,20,6,Yes,No
57,2,20,94,9,Yes,35,1,28,54,8,Yes,No
59,2,3,90,1,Yes,19,2,36,24,3,Yes,No
47,2,20,45,3,Yes,35,2,36,59,2,Yes,No
43,3,2,10,2,Yes,54,2,24,12,3,Yes,No
31,1,35,37,2,Yes,20,1,18,43,8,Yes,No
39,3,32,36,8,Yes,37,1,2,78,9,Yes,No
36,3,20,30,5,Yes,29,1,13,40,5,Yes,No
51,2,2,66,5,Yes,38,2,30,93,3,Yes,No
59,3,36,38,3,Yes,19,1,1,24,2,Yes,No
40,3,18,52,8,Yes,31,2,29,22,5,Yes,No
53,1,13,19,3,Yes,52,1,10,71,6,Yes,No
27,3,10,50,6,Yes,19,1,38,94,2,Yes,No
41,1,10,27,4,Yes,35,2,22,25,5,Yes,No
39,2,28,26,6,Yes,46,1,1,61,6,Yes,No
44,3,21,45,7,Yes,49,3,28,73,1,Yes,No
46,1,20,50,7,Yes,48,3,32,23,7,Yes,Yes
35,2,25,1,5,Yes,41,1,19,2,8,Yes,No
37,2,26,39,9,Yes,42,2,38,48,6,Yes,No
57,1,3,93,6,Yes,54,1,32,93,4,Yes,No
47,2,35,2,9,Yes,51,1,37,63,2,Yes,No
45,2,33,38,8,Yes,41,2,6,22,9,Yes,No
45,3,2,23,4,Yes,46,1,26,33,6,Yes,No
23,3,29,51,8,Yes,45,3,29,18,4,Yes,No
35,1,15,39,6,Yes,51,1,31,53,2,Yes,No
41,2,34,66,1,Yes,33,3,11,71,2,Yes,No
52,3,8,74,2,Yes,31,2,3,3,5,Yes,No
47,2,17,39,1,Yes,18,1,2,83,6,Yes,No
55,1,14,27,3,Yes,21,2,13,89,6,Yes,No
19,3,30,45,3,Yes,32,1,19,58,6,Yes,No
29,1,13,26,5,Yes,53,1,26,44,8,Yes,No
34,3,4,97,7,Yes,53,1,20,72,1,Yes,No
36,2,19,73,9,Yes,59,1,8,38,6,Yes,No
55,2,1,84,7,Yes,19,1,2,92,9,Yes,No
21,2,4,14,5,Yes,28,2,8,84,9,Yes,No
18,2,26,98,3,Yes,21,3,16,45,2,Yes,No
27,1,6,70,4,Yes,58,1,21,61,4,Yes,No
30,2,35,54,6,Yes,42,3,14,91,6,Yes,No
22,1,2,27,3,Yes,58,2,34,79,3,Yes,No
39,1,29,98,1,Yes,19,1,28,19,6,Yes,No
40,3,39,15,1,Yes,47,3,35,48,1,Yes,No
43,1,0,15,8,Yes,19,2,18,33,2,Yes,No
44,1,34,46,6,Yes,32,1,17,40,7,Yes,No
52,1,1,86,7,Yes,43,3,26,83,7,Yes,No
44,3,27,35,2,Yes,46,1,4,71,5,Yes,No
46,1,1,85,8,Yes,54,2,1,99,9,Yes,No
36,2,16,64,3,Yes,28,3,10,4,9,Yes,No
52,1,27,23,4,Yes,37,1,13,73,6,Yes,No
52,3,38,35,7,Yes,59,3,0,47,3,Yes,No
25,1,37,66,8,Yes,51,2,39,92,4,Yes,No
35,2,38,47,3,Yes,46,2,7,79,7,Yes,No
35,3,28,81,5,Yes,58,1,18,18,7,Yes,Yes
50,2,22,64,5,Yes,37,2,12,54,1,Yes,No
43,1,11,46,9,Yes,47,3,8,35,5,Yes,No
23,2,18,59,7,Yes,32,3,11,20,3,Yes,No
44,3,29,21,6,Yes,56,1,10,54,1,Yes,No
54,3,36,5,7,Yes,40,3,11,59,7,Yes,No
56,3,10,22,1,Yes,27,2,0,80,5,Yes,No
52,2,21,73,8,Yes,37,2,9,68,9,Yes,No
42,1,21,57,9,Yes,42,3,21,50,5,Yes,No
38,3,32,46,9,Yes,51,2,23,10,3,Yes,No
34,2,17,40,1,Yes,41,2,4,64,5,Yes,No
31,3,20,98,6,Yes,37,3,36,55,4,Yes,No
36,1,10,60,2,Yes,27,1,22,47,7,Yes,Yes
35,1,29,84,3,Yes,56,1,21,31,8,Yes,No
34,2,27,46,1,Yes,25,2,27,89,1,Yes,No
47,3,5,94,7,Yes,41,2,14,43,9,Yes,No
43,3,9,89,6,Yes,26,2,25,9,5,Yes,No
33,2,2,59,6,Yes,46,1,18,41,6,Yes,Yes
29,2,1,74,1,Yes,24,2,7,19,1,Yes,No
59,1,24,94,6,Yes,19,3,22,46,1,Yes,No
42,1,32,48,5,Yes,29,3,15,97,9,Yes,No
23,3,21,7,9,Yes,28,3,39,93,2,Yes,No
26,2,22,2,6,Yes,54,2,20,66,5,Yes,No
31,1,19,39,8,Yes,49,3,29,73,6,Yes,No
29,3,22,36,5,Yes,29,2,6,15,3,Yes,No
55,1,34,41,4,Yes,22,3,11,50,6,Yes,No
39,1,1,81,1,Yes,48,3,13,69,1,Yes,No
33,3,30,88,8,Yes,39,3,37,19,6,Yes,No
39,3,24,45,2,Yes,49,3,10,35,1,Yes,No
32,2,12,56,2,Yes,45,2,33,45,6,Yes,No
34,2,13,13,3,Yes,40,2,22,13,6,Yes,No
28,2,15,6,6,Yes,36,3,25,88,7,Yes,No
50,3,17,55,6,Yes,19,3,9,50,7,Yes,No
42,1,30,56,5,Yes,26,2,34,38,7,Yes,No
40,2,13,22,9,Yes,43,3,7,66,5,Yes,No
59,1,27,16,8,Yes,28,3,5,66,9,Yes,No
41,1,3,38,4,Yes,46,1,17,5,2,Yes,No
41,1,29,98,2,Yes,36,1,29,89,2,Yes,No
22,1,35,53,4,Yes,24,1,19,52,2,Yes,No
20,1,29,75,2,Yes,23,2,9,47,6,Yes,No
34,2,33,90,2,Yes,40,3,23,64,3,Yes,No
46,1,11,92,9,Yes,52,1,3,19,3,Yes,No
23,2,0,33,9,Yes,52,3,6,23,1,Yes,No
41,1,25,37,3,Yes,25,2,0,31,9,Yes,No
22,2,28,76,4,Yes,45,3,36,72,9,Yes,No
21,1,36,64,5,Yes,28,2,20,27,4,Yes,No
18,1,36,27,2,Yes,25,2,29,81,5,Yes,No
19,3,23,1,7,Yes,27,1,37,26,2,Yes,No
53,2,27,55,9,Yes,21,2,0,85,9,Yes,No
33,2,32,3,3,Yes,35,1,32,29,9,Yes,No
19,1,12,40,8,Yes,54,2,39,11,9,Yes,No
44,3,25,45,7,Yes,18,1,7,19,5,Yes,No
22,1,3,42,9,Yes,19,3,29,48,7,Yes,No
43,2,24,66,5,Yes,55,3,35,9,4,Yes,No
40,1,14,97,1,Yes,33,2,35,36,3,Yes,No
27,3,18,69,5,Yes,29,2,36,69,7,Yes,No
26,3,34,76,8,Yes,39,2,11,62,1,Yes,No
44,3,13,59,1,Yes,34,2,35,73,1,Yes,No
45,2,22,84,3,Yes,46,1,9,48,8,Yes,No
21,1,31,18,4,Yes,52,2,38,13,1,Yes,No
38,2,0,77,9,Yes,25,1,19,86,7,Yes,No
21,2,18,20,1,Yes,30,2,24,95,9,Yes,No
25,1,6,65,7,Yes,27,2,6,5,3,Yes,No
50,1,26,25,8,Yes,43,1,14,11,4,Yes,No
27,2,39,44,5,Yes,54,2,2,8,1,Yes,No
58,2,32,78,9,Yes,28,2,1,17,5,Yes,No
51,2,34,55,1,Yes,42,1,6,10,7,Yes,No
33,1,33,85,2,Yes,57,2,31,13,2,Yes,No
50,2,26,26,9,Yes,23,2,16,72,3,Yes,No
28,3,35,64,3,Yes,30,1,22,1,4,Yes,No
19,2,12,46,5,Yes,29,1,6,52,3,Yes,No
59,3,17,83,4,Yes,28,1,0,11,9,Yes,No
52,1,15,3,9,Yes,18,1,25,36,7,Yes,No
24,2,22,6,1,Yes,35,3,5,54,3,Yes,Yes
21,1,15,29,7,Yes,40,1,23,52,4,Yes,No
33,3,30,92,9,Yes,58,3,2,91,3,Yes,No
30,3,35,20,8,Yes,29,1,15,59,3,Yes,Yes
30,3,3,89,4,Yes,39,2,2,3,2,Yes,No
29,1,21,4,3,Yes,54,3,9,97,6,Yes,No
42,3,9,98,9,Yes,48,2,39,46,5,Yes,No
39,1,32,97,6,Yes,24,3,4,75,6,Yes,No
54,2,34,37,8,Yes,58,2,39,84,2,Yes,No
18,1,11,7,3,Yes,21,2,20,99,1,Yes,No
52,2,25,42,3,Yes,50,1,0,20,8,Yes,No
57,1,3,23,3,Yes,46,3,12,7,2,Yes,No
54,2,24,43,3,Yes,58,3,8,91,1,Yes,No
34,2,13,11,6,Yes,30,1,16,73,1,Yes,No
58,2,31,2,3,Yes,26,1,32,11,6,Yes,No
52,3,4,95,2,Yes,18,1,8,5,2,Yes,No
27,2,28,63,9,Yes,20,1,26,52,7,Yes,No
46,1,3,9,7,Yes,23,1,36,99,7,Yes,No
29,2,38,47,3,Yes,32,2,19,58,6,Yes,No
48,2,23,95,1,Yes,20,1,30,55,7,Yes,No
27,2,32,38,7,Yes,52,1,13,28,6,Yes,No
28,3,1,59,8,Yes,55,3,24,54,3,Yes,No
21,1,22,35,2,Yes,40,3,35,58,7,Yes,No
40,1,6,40,9,Yes,25,1,37,19,3,Yes,Yes
48,3,22,60,8,Yes,58,3,37,13,4,Yes,No
42,2,32,53,6,Yes,23,3,1,84,1,Yes,No
19,1,22,31,7,Yes,44,2,20,96,2,Yes,No
32,2,23,20,1,Yes,55,1,15,28,8,Yes,No
44,1,11,45,9,Yes,55,1,35,46,6,Yes,No
37,3,6,85,8,Yes,55,1,10,68,6,Yes,No
35,3,17,27,3,Yes,27,3,28,69,2,Yes,No
41,1,18,44,3,Yes,58,3,22,11,1,Yes,No
41,3,32,71,8,Yes,37,3,26,8,5,Yes,No
19,2,23,43,2,Yes,59,1,28,75,3,Yes,No
48,1,11,27,2,Yes,38,1,30,51,6,Yes,No
46,2,13,48,2,Yes,51,1,37,2,2,Yes,No
46,2,19,53,9,Yes,23,2,10,66,4,Yes,No
54,1,11,6,1,Yes,23,2,15,80,3,Yes,No
35,3,33,14,7,Yes,28,3,9,29,2,Yes,No
55,2,8,96,6,Yes,54,2,28,49,7,Yes,No
48,2,18,42,1,Yes,58,2,11,60,2,Yes,No
28,1,30,54,7,Yes,27,1,8,25,2,Yes,No
52,2,24,27,3,Yes,48,3,11,35,6,Yes,No
31,1,2,48,6,Yes,24,3,11,99,9,Yes,No
28,2,38,91,8,Yes,45,1,28,40,4,Yes,No
55,1,26,41,5,Yes,45,3,32,81,6,Yes,No
33,3,9,81,3,Yes,28,1,18,65,5,Yes,No
35,3,8,36,7,Yes,27,2,0,84,8,Yes,No
40,1,25,72,1,Yes,34,3,13,51,2,Yes,No
54,1,6,49,6,Yes,21,1,38,72,6,Yes,No
55,1,24,57,1,Yes,36,1,2,84,2,Yes,No
33,3,15,64,6,Yes,57,2,23,63,4,Yes,No
40,2,1,23,5,Yes,47,3,15,56,1,Yes,No
21,1,6,40,2,Yes,22,1,30,67,6,Yes,No
46,1,30,88,5,Yes,39,3,21,71,3,Yes,No
34,2,16,7,4,Yes,31,1,20,24,2,Yes,No
24,3,2,2,2,Yes,31,1,39,28,9,Yes,No
47,1,31,42,4,Yes,20,3,2,43,4,Yes,No
59,2,0,14,2,Yes,22,1,3,71,8,Yes,No
45,1,25,83,8,Yes,26,1,10,94,3,Yes,No
40,2,4,82,7,Yes,27,2,24,19,6,Yes,No
58,2,25,68,1,Yes,23,2,39,24,7,Yes,Yes
29,1,12,74,1,Yes,57,1,1,3,2,Yes,No
42,2,22,97,5,Yes,24,2,35,73,8,Yes,No
43,1,19,23,4,Yes,33,1,19,60,6,Yes,No
52,1,1,11,3,Yes,58,2,34,41,7,Yes,No
47,2,20,82,2,Yes,40,1,35,93,9,Yes,No
25,3,38,90,6,Yes,19,3,21,34,8,Yes,No
56,1,26,69,6,Yes,59,3,30,59,4,Yes,No
32,1,16,45,8,Yes,55,2,34,46,4,Yes,No
44,3,22,79,1,Yes,18,2,36,63,9,Yes,No
20,1,30,32,9,Yes,55,3,18,70,8,Yes,Yes
43,1,21,56,9,Yes,54,3,28,2,3,Yes,No
56,3,14,47,7,Yes,54,1,16,82,3,Yes,No
25,2,5,85,1,Yes,26,1,3,21,4,Yes,No
27,1,29,37,1,Yes,41,1,24,11,9,Yes,No
40,1,32,25,2,Yes,40,1,18,56,4,Yes,Yes
44,3,20,64,1,Yes,58,1,15,4,4,Yes,No
24,1,29,32,4,Yes,40,3,38,52,3,Yes,No
29,1,0,85,5,Yes,51,3,6,10,9,Yes,No
18,2,29,34,1,Yes,21,1,18,5,2,Yes,No
38,3,37,81,6,Yes,39,3,32,76,4,Yes,No
58,1,23,73,6,Yes,56,3,25,45,2,Yes,No
31,1,7,65,9,Yes,24,1,39,91,9,Yes,No
23,3,12,44,1,Yes,29,3,28,70,3,Yes,No
19,2,38,36,6,Yes,41,1,38,72,7,Yes,No
27,2,20,96,6,Yes,18,3,0,79,6,Yes,No
19,3,13,64,3,Yes,30,1,37,86,1,Yes,No
57,3,29,38,1,Yes,54,2,27,97,3,Yes,Yes
25,1,16,15,1,Yes,53,1,19,14,1,Yes,No
19,2,5,28,9,Yes,51,1,30,92,4,Yes,No
53,3,30,63,3,Yes,40,2,8,21,3,Yes,Yes
49,1,28,36,3,Yes,54,2,1,40,4,Yes,No
57,3,4,55,9,Yes,41,2,35,2,1,Yes,No
34,3,33,14,8,Yes,49,3,37,31,8,Yes,No
37,3,28,49,7,Yes,38,2,1,17,6,Yes,No
48,2,14,41,6,Yes,24,3,7,69,9,Yes,No
59,1,31,48,4,Yes,37,1,39,53,5,Yes,No
59,1,37,70,6,Yes,40,1,34,18,8,Yes,No
41,2,30,21,6,Yes,24,3,26,88,1,Yes,No
58,3,27,90,7,Yes,22,3,0,71,3,Yes,No
30,3,39,11,3,Yes,48,3,15,64,9,Yes,No
23,2,0,44,1,Yes,33,3,22,81,8,Yes,No
29,2,14,23,5,Yes,43,3,13,89,3,Yes,No
35,2,1,12,3,Yes,35,2,25,71,4,Yes,No
52,1,31,64,7,Yes,25,2,5,12,1,Yes,No
56,3,14,34,9,Yes,35,1,15,76,9,Yes,No
52,2,5,90,7,Yes,59,1,31,85,1,Yes,No
23,1,3,98,7,Yes,38,1,1,26,9,Yes,No
25,1,17,82,2,Yes,53,2,1,88,1,Yes,No
55,1,25,20,1,Yes,48,1,11,47,9,Yes,No
37,1,9,46,6,Yes,54,3,16,36,5,Yes,No
56,1,35,94,7,Yes,36,2,39,83,1,Yes,No
35,2,32,46,6,Yes,47,3,3,54,2,Yes,No
19,1,23,96,7,Yes,46,1,8,31,7,Yes,No
18,3,39,85,5,Yes,49,1,23,22,1,Yes,No
59,3,8,50,3,Yes,36,3,17,15,3,Yes,No
48,1,38,48,9,Yes,19,1,27,90,3,Yes,No
31,2,2,80,3,Yes,19,2,18,38,9,Yes,No
58,1,33,48,4,Yes,48,3,6,75,1,Yes,Yes
42,3,23,96,4,Yes,51,2,11,17,2,Yes,No
58,1,31,17,7,Yes,39,3,18,48,8,Yes,No
54,2,6,32,5,Yes,46,1,32,90,1,Yes,No
56,2,35,23,3,Yes,25,2,1,67,3,Yes,No
39,3,11,38,1,Yes,34,2,25,46,4,Yes,No
29,2,26,37,7,Yes,22,1,4,72,9,Yes,No
40,2,29,7,9,Yes,46,2,1,66,9,Yes,No
54,1,5,77,1,Yes,47,3,31,92,5,Yes,No
33,2,14,27,4,Yes,35,3,21,2,6,Yes,No
47,1,12,47,8,Yes,41,2,8,29,5,Yes,No
32,1,7,80,6,Yes,28,2,14,12,1,Yes,No
47,3,1,40,2,Yes,18,2,3,17,6,Yes,No
53,2,24,44,6,Yes,48,2,4,5,5,Yes,No
19,1,15,5,6,Yes,56,2,0,30,9,Yes,No
58,2,23,4,7,Yes,48,2,19,39,9,Yes,No
36,3,32,64,8,Yes,25,3,7,50,7,Yes,No
41,1,5,26,5,Yes,38,2,28,87,5,Yes,No
52,3,7,63,7,Yes,25,1,30,39,5,Yes,No
28,1,30,87,4,Yes,53,1,7,32,9,Yes,No
46,2,4,20,8,Yes,26,2,25,25,2,Yes,No
38,2,12,70,6,Yes,34,1,20,89,9,Yes,No
34,1,9,41,3,Yes,29,1,37,8,2,Yes,Yes
48,2,26,78,1,Yes,39,3,17,10,4,Yes,No
20,1,20,21,1,Yes,23,2,33,34,8,Yes,No
34,1,11,65,9,Yes,51,2,24,72,5,Yes,No
46,3,15,50,2,Yes,43,1,30,48,1,Yes,No
31,2,16,4,1,Yes,36,1,34,96,8,Yes,No
58,1,29,65,4,Yes,29,1,11,28,6,Yes,No
40,3,38,95,2,Yes,52,2,24,10,9,Yes,No
30,1,4,79,5,Yes,56,3,15,48,9,Yes,No
42,2,33,83,5,Yes,42,2,38,25,1,Yes,No
45,3,13,2,8,Yes,49,1,15,13,7,Yes,Yes
26,2,30,42,2,Yes,45,3,12,23,2,Yes,No
27,3,11,27,5,Yes,31,3,36,21,4,Yes,No
41,1,24,59,7,Yes,28,1,33,33,9,Yes,No
42,2,1,7,7,Yes,21,1,36,57,8,Yes,No
34,1,27,17,3,Yes,59,3,15,84,6,Yes,No
27,2,4,34,5,Yes,55,1,27,3,6,Yes,No
30,1,20,15,3,Yes,18,3,19,75,2,Yes,No
28,1,11,33,9,Yes,42,3,23,52,2,Yes,No
33,3,34,94,5,Yes,51,3,39,33,5,Yes,No
57,2,25,46,6,Yes,25,2,13,7,9,Yes,No
59,1,38,21,6,Yes,41,2,20,10,7,Yes,No
35,2,35,29,5,Yes,29,1,21,73,6,Yes,No
29,3,33,32,4,Yes,56,1,16,69,7,Yes,No
50,1,32,70,6,Yes,52,3,8,50,3,Yes,Yes
24,1,24,66,9,Yes,57,1,11,60,2,Yes,Yes
46,1,19,52,7,Yes,49,2,26,37,3,Yes,No
24,3,34,81,5,Yes,44,1,7,75,2,Yes,No
53,1,6,48,8,Yes,32,3,13,25,7,Yes,No
46,2,36,13,5,Yes,30,3,8,73,1,Yes,No
47,1,9,87,8,Yes,43,2,0,72,4,Yes,No
49,1,34,27,8,Yes,42,2,4,11,8,Yes,Yes
27,2,1,91,3,Yes,37,1,25,13,4,Yes,Yes
30,2,39,25,1,Yes,35,2,11,23,2,Yes,No
58,3,30,11,9,Yes,55,1,37,2,8,Yes,No
33,1,30,73,7,Yes,50,1,39,64,7,Yes,No
32,1,11,26,3,Yes,29,2,33,57,5,Yes,No
59,3,12,38,4,Yes,27,3,36,53,7,Yes,No
43,1,33,40,4,Yes,50,2,4,76,3,Yes,No
30,3,28,30,6,Yes,26,1,32,66,4,Yes,Yes
39,2,31,44,7,Yes,25,1,7,10,5,Yes,No
59,1,5,77,1,Yes,43,2,17,88,1,Yes,No
41,2,38,66,3,Yes,52,3,15,88,9,Yes,No
52,1,32,11,4,Yes,58,2,3,49,8,Yes,No
18,3,22,45,5,Yes,20,1,20,44,9,Yes,No
27,3,13,77,6,Yes,47,2,25,57,3,Yes,No
